167,163,160,157,154,151,148,145,142,150,158,166,175,184,193,204,214,226,238,250
133,131,128,126,123,121,118,116,114,120,126,133,140,147,155,163,171,181,190,200
133,131,128,126,123,121,118,116,114,120,126,133,140,147,155,163,171,181,190,200
133,131,128,126,123,121,118,116,114,120,126,133,140,147,155,163,171,181,190,200
133,131,128,126,123,121,118,116,114,120,126,133,140,147,155,163,171,181,190,200
133,131,128,126,123,121,118,116,114,120,126,133,140,147,155,163,171,181,190,200
133,131,128,126,123,121,118,116,114,120,126,133,140,147,155,163,171,181,190,200
133,131,128,126,123,121,118,116,114,120,126,133,140,147,155,163,171,181,190,200
133,131,128,126,123,121,118,116,114,120,126,133,140,147,155,163,171,181,190,200
167,163,160,157,154,151,148,145,142,150,158,166,175,184,193,204,214,226,238,250
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
168,165,162,158,155,152,149,146,144,151,159,167,176,185,195,205,216,227,239,251
135,132,130,127,125,122,120,117,115,121,127,134,141,148,156,164,173,182,191,201
135,132,130,127,125,122,120,117,115,121,127,134,141,148,156,164,173,182,191,201
135,132,130,127,125,122,120,117,115,121,127,134,141,148,156,164,173,182,191,201
135,132,130,127,125,122,120,117,115,121,127,134,141,148,156,164,173,182,191,201
135,132,130,127,125,122,120,117,115,121,127,134,141,148,156,164,173,182,191,201
135,132,130,127,125,122,120,117,115,121,127,134,141,148,156,164,173,182,191,201
135,132,130,127,125,122,120,117,115,121,127,134,141,148,156,164,173,182,191,201
135,132,130,127,125,122,120,117,115,121,127,134,141,148,156,164,173,182,191,201
168,165,162,158,155,152,149,146,144,151,159,167,176,185,195,205,216,227,239,251
